,m/z,m/z,time,time,Intens.,Intens.,SN,SN,Quality Fac.,Quality Fac.,Res.,Res.,Area,Area,Rel. Intens.,Rel. Intens.,FWHM,FWHM,Chi^2,Chi^2,Bk. Peak,Bk. Peak
level_1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
level_0,,,,,,,,,,,,,,,,,,,,,,
STD-12.5_0_F5_1,2793.359714576802,2821.493372111085,29949.322065320448,30097.506583754643,2691.0,3892.0,6.797028186093035,13.5323671724773,,,556.5172080413765,510.8757112570741,7306.855105180445,14743.6325027943,0.6914182939362795,1.0,5.0193591037514125,5.522856753491852,,,0.0,0.0
STD-12.5_0_G5_1,2793.481722143439,2821.488475292018,29949.966331269035,30097.48085688328,2118.0,2727.0,4.969208587714546,9.337664783915423,,,553.5072580773854,521.8652939677035,4037.458199974672,8103.698256631307,0.7766776677667767,1.0,5.04687460078958,5.4065455356121666,,,0.0,0.0
STD-25_0_F6_1,2793.412857334278,2821.500529405323,29949.602689582774,30097.544186652733,6989.0,8083.0,16.26561844047999,19.72793706561572,,,517.124208473432,517.3252830832255,31891.14737670869,38962.71473702484,0.8646542125448472,1.0,5.401821867091712,5.454016305929145,,,0.0,0.0
STD-25_0_G6_1,2793.267603795511,2821.372404084789,29948.835661102938,30096.871036203083,14088.0,16529.0,15.79628152963245,19.27568264981228,,,501.9583503156354,505.3285177998857,70217.54702331124,87846.87954910094,0.8523201645592595,1.0,5.564739787751479,5.583243978330303,,,0.0,0.0
STD-3.125_0_F3_1,2793.0341023797,2821.25847024851,29947.602586821202,30096.272432554717,4105.0,12119.0,4.919526100811808,24.02082560270417,,,563.1611323223304,510.0231670226056,12357.39659556004,61978.54644433948,0.3387243171878868,1.0,4.95956475345156,5.531628076266316,,,0.0,0.0
STD-3.125_0_G3_1,2792.607232135504,2820.84504367963,29945.34823508073,30094.10020338864,2821.0,7742.0,4.116143162414168,22.80637661315476,,,498.2849109065196,545.3993066517158,7065.11841190886,35582.33784013577,0.364376130198915,1.0,5.604438687607399,5.172073028470096,,,0.0,0.0
STD-50_0_F7_1,2792.956204349753,2821.099010336904,29947.19121125694,30095.434616175582,13798.0,9508.0,27.92698132289009,17.71414781549955,,,519.5671743924339,528.659004948874,71742.26739198659,47599.83114150848,1.0,0.6890853746919844,5.375543995087356,5.336330193807498,,,0.0,0.0
STD-50_0_G7_1,2793.019771395303,2821.149018985249,29947.526906053336,30095.69736859468,18750.0,12967.0,27.73693040969085,17.79533515980754,,,511.7974159487256,509.2370444488835,99788.46355077857,69035.5570421169,1.0,0.6915733333333334,5.457276032193023,5.539952463667304,,,0.0,0.0
STD-6.25_0_F4_1,2793.26570827801,2821.394358178855,29948.825651464835,30096.986380691378,3145.0,7290.0,4.569769507679651,18.05620212379368,,,540.4900204957667,529.2573799127429,8868.862000827385,33521.54736506659,0.43141289437585734,1.0,5.168024574655191,5.330855015463384,,,0.0,0.0
STD-6.25_0_G4_1,2792.847692100932,2821.351333790536,29946.618153835934,30096.76033467678,2395.0,4538.0,2.877815751288548,11.70064716046073,,,527.4049438101719,547.1714931722806,4190.399270614119,16844.04403201085,0.5277655354781842,1.0,5.295452241923158,5.156246933540842,,,0.0,0.0
